split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
combined_hard_shift,risk_aware_attention,1,168,0.70833,0.50878,0.08879,3.30992,0.29167,0.16667,0.14434,0.13889
combined_hard_shift,risk_aware_attention,2,168,0.63690,0.52259,0.10754,3.31983,0.32738,0.15476,0.13820,0.13747
combined_hard_shift,risk_aware_attention,3,168,0.66667,0.50581,0.09177,3.32500,0.30952,0.16071,0.14424,0.13873
combined_hard_shift,risk_aware_attention,4,168,0.66667,0.52079,0.10238,3.30249,0.30952,0.15476,0.13461,0.14032
combined_hard_shift,risk_aware_attention,5,168,0.72024,0.51362,0.12014,3.35121,0.40476,0.19643,0.14091,0.13530
combined_hard_shift,risk_aware_attention,6,168,0.66667,0.54223,0.10813,3.32545,0.29762,0.14881,0.13033,0.13643
combined_hard_shift,token_salience_transformer,0,168,0.04762,0.02915,0.93750,3.35159,0.35119,0.34524,0.73116,0.02113
combined_hard_shift,token_salience_transformer,1,168,0.08333,0.02030,0.95982,3.34161,0.34524,0.45833,0.75524,0.01978
combined_hard_shift,token_salience_transformer,2,168,0.05357,0.01750,0.96230,3.34710,0.33929,0.45833,0.73763,0.02162
combined_hard_shift,token_salience_transformer,3,168,0.08929,0.02600,0.94841,3.34793,0.29762,0.40476,0.74308,0.02360
combined_hard_shift,token_salience_transformer,4,168,0.08333,0.02814,0.95189,3.34846,0.32738,0.39881,0.73237,0.02353
combined_hard_shift,token_salience_transformer,5,168,0.06548,0.03135,0.93750,3.32662,0.31548,0.41071,0.72372,0.02139
combined_hard_shift,token_salience_transformer,6,168,0.08929,0.01842,0.96429,3.33585,0.33333,0.44048,0.74984,0.02180
combined_hard_shift,uncertainty_attention,0,168,0.22024,0.15125,0.68403,3.35261,0.30357,0.24405,0.53857,0.05293
combined_hard_shift,uncertainty_attention,1,168,0.22024,0.14861,0.69544,3.38241,0.41667,0.31548,0.54681,0.04472
combined_hard_shift,uncertainty_attention,2,168,0.20833,0.14389,0.70040,3.33529,0.27976,0.33929,0.53105,0.05092
combined_hard_shift,uncertainty_attention,3,168,0.22024,0.14646,0.68949,3.36836,0.36905,0.38095,0.53852,0.04833
combined_hard_shift,uncertainty_attention,4,168,0.19643,0.14342,0.71032,3.36575,0.36905,0.35119,0.53226,0.05197
combined_hard_shift,uncertainty_attention,5,168,0.19048,0.14645,0.69891,3.34524,0.29167,0.30952,0.53630,0.05038
combined_hard_shift,uncertainty_attention,6,168,0.17857,0.15956,0.69296,3.36492,0.35119,0.33333,0.51785,0.05388
combined_hard_shift,uniform_attention_budget,0,168,0.22619,0.16706,0.67857,3.31634,0.29762,0.29762,0.52332,0.05344
combined_hard_shift,uniform_attention_budget,1,168,0.23214,0.18041,0.65873,3.33913,0.38690,0.31548,0.53209,0.05165
combined_hard_shift,uniform_attention_budget,2,168,0.20238,0.16824,0.69058,3.32808,0.31548,0.36310,0.51822,0.05248
combined_hard_shift,uniform_attention_budget,3,168,0.26786,0.16795,0.68601,3.31483,0.30357,0.28571,0.53597,0.05215
